Ref       PosX      PosY       Rot       Side
C1        267.9700  -148.0950   90.0000  top
C2        144.4740  -147.8954   90.0000  top
C3         29.5734  -146.7844  270.0000  top
C221      215.1250  -140.9700    0.0000  top
C231      215.4050  -148.5900  180.0000  top
C401      228.5440  -131.5236  270.0000  top
CP1       199.3900  -134.8250  270.0000  top
C_hv1     168.9100  -147.1150  270.0000  top
Cbyp1     172.7200  -130.8100    0.0000  top
Cref1     168.9100  -133.3500   90.0000  top
Cstor1    187.4650  -134.6200  180.0000  top
DS1       189.2300  -144.2975   90.0000  top
DZ1       195.5800  -135.1000  270.0000  top
DZ2       187.1700  -137.1600    0.0000  top
D_LD1     192.9865  -119.8110    0.0000  top
F1        193.0400  -134.6200  270.0000  top
LED_G1    208.7625  -123.1900    0.0000  top
LED_P1    203.2035  -133.7028  270.0000  top
LED_R1    238.7600  -123.1900    0.0000  top
Lbst1     183.0100  -127.0000    0.0000  top
PwrHarv1  172.2800  -133.7900    0.0000  top
R1        266.2943  -147.6918   90.0000  top
R2        142.6858  -147.1163   90.0000  top
R3         31.0948  -147.2853  270.0000  top
R4        220.5350  -129.5400    0.0000  top
R301      229.4250  -139.7000  180.0000  top
R_G1      208.7250  -119.3800    0.0000  top
R_LD1     193.4850  -123.1900  180.0000  top
R_P1      203.2000  -136.7150   90.0000  top
R_R1      237.9350  -119.3800    0.0000  top
R_SW1     223.9650  -120.6500    0.0000  top
R_SW2     223.9650  -123.1900    0.0000  top
Roc1      165.1000  -132.9050   90.0000  top
Roc2      165.1000  -136.7150   90.0000  top
Roc3      165.1000  -140.5250   90.0000  top
Rok1      178.6250  -140.9700    0.0000  top
Rok2      174.4350  -140.9700    0.0000  top
Rok3      170.6250  -140.9700    0.0000  top
Rov1      177.8000  -143.5100    0.0000  top
Rov2      173.9900  -143.5100    0.0000  top
Rov3      170.1800  -143.5100    0.0000  top
Ruv1      174.8150  -138.4300    0.0000  top
Ruv2      170.6250  -138.4300    0.0000  top
U1        198.1200  -142.2400    0.0000  top
TH3        26.6700  -147.3200  180.0000  top
TH2       147.3200  -147.3200    0.0000  top
TH1       271.7800  -147.3200    0.0000  top
RF_MCU1   223.5200  -135.8900  270.0000  top
XTAL1     215.4800  -144.9500   90.0000  top

